Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Revealing Cultural Influences in Human Computer Interaction by Analyzing Big Data in Interactions","Active Media Technology","","","","10.1007/978-3-642-35236-2_58","Rüdiger HeimgärtnerHarald Kindermann","2012","http://link.springer.com/chapter/10.1007/978-3-642-35236-2_58","Chapter"
"Attention and Intention Goals Can Mediate Disruption in Human-Computer Interaction","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23771-3_34","Ernesto ArroyoTed Selker","2011","http://link.springer.com/chapter/10.1007/978-3-642-23771-3_34","Chapter"
"Representations in Human–Computer Systems Development","Cognition, Technology & Work","","4","3","10.1007/s101110200017","D. Benyon","2002","http://link.springer.com/article/10.1007/s101110200017","Article"
"A human-centred methodology applied to decision support system design and evaluation in a railway network context","Cognition, Technology & Work","","5","4","10.1007/s10111-003-0128-9","S. LepreuxM. AbedC. Kolski","2003","http://link.springer.com/article/10.1007/s10111-003-0128-9","Article"
"Handbook of Human–Computer Interaction, Martin G. Helander, Thomas K. Landauer and Prasad V. Prabhu (eds.)","Journal of Intelligent and Robotic Systems","","28","3","10.1023/A:1008171820407","Spyros G. Tzafestas","2000","http://link.springer.com/article/10.1023/A%3A1008171820407","Article"
"A Kinect-Based Natural Interface for Quadrotor Control","Intelligent Technologies for Interactive Entertainment","","","","10.1007/978-3-642-30214-5_6","Andrea SannaFabrizio LambertiGianluca ParavatiEduardo Andres Henao RamirezFederico Manuri","2012","http://link.springer.com/chapter/10.1007/978-3-642-30214-5_6","Chapter"
"COMUNICAR: designing a multimedia, context-aware human-machine interface for cars","Cognition, Technology & Work","","7","1","10.1007/s10111-004-0168-9","F. BellottiA. De GloriaR. MontanariN. DosioD. Morreale","2005","http://link.springer.com/article/10.1007/s10111-004-0168-9","Article"
"Description languages for multimodal interaction: a set of guidelines and its illustration with SMUIML","Journal on Multimodal User Interfaces","","3","3","10.1007/s12193-010-0043-3","Bruno DumasDenis LalanneRolf Ingold","2010","http://link.springer.com/article/10.1007/s12193-010-0043-3","Article"
"A Multi-Modal and Collaborative Human–Machine Interface for a Walking Robot","Journal of Intelligent and Robotic Systems","","35","4","10.1023/A:1022303009950","J. EstremeraE. GarciaP. Gonzalez de Santos","2002","http://link.springer.com/article/10.1023/A%3A1022303009950","Article"
"Introduction and Motivation","Quantifying Quality Aspects of Multimodal Interactive Systems","","","","10.1007/978-3-642-29602-4_1","Christine Kühnel","2012","http://link.springer.com/chapter/10.1007/978-3-642-29602-4_1","Chapter"
"A Multi-touch Solution to Build Personalized Interfaces for the Control of Remote Applications","User Centric Media","","","","10.1007/978-3-642-35145-7_2","Gianluca ParavatiMattia Donna BiancoAndrea SannaFabrizio Lamberti","2012","http://link.springer.com/chapter/10.1007/978-3-642-35145-7_2","Chapter"
"System Architectures for Automated Vehicle Guidance Concepts","Automotive Systems Engineering","","","","10.1007/978-3-642-36455-6_3","Felix Lotz","2013","http://link.springer.com/chapter/10.1007/978-3-642-36455-6_3","Chapter"
"Mobile Multimodality—Design and Development of the SmartKom Companion","International Journal of Speech Technology","","8","2","10.1007/s10772-005-2170-x","Dirk BühlerWolfgang Minker","2005","http://link.springer.com/article/10.1007/s10772-005-2170-x","Article"
"Mobile Multimodality—Design and Development of the SmartKom Companion","Journal of Sol-Gel Science and Technology","","8","2","10.1007/s10971-005-2170-y","Dirk BühlerWolfgang Minker","1997","http://link.springer.com/article/10.1007/s10971-005-2170-y","Article"
"Multi-touch user interface evaluation for 3D object manipulation on mobile devices","Journal on Multimodal User Interfaces","","4","1","10.1007/s12193-009-0034-4","Donato FiorellaAndrea SannaFabrizio Lamberti","2010","http://link.springer.com/article/10.1007/s12193-009-0034-4","Article"
"Embedded-based modular NC systems","The International Journal of Advanced Manufacturing Technology","","40","7 - 8","10.1007/s00170-008-1384-x","Yi-Hong LongZu-De ZhouQuan LiuBen-Yuan ChenHeng-Lin Zhou","2009","http://link.springer.com/article/10.1007/s00170-008-1384-x","Article"
"Self-optimising Production Systems","Integrative Production Technology for High-Wage Countries","","","","10.1007/978-3-642-21067-9_6","Robert SchmittChristian BrecherBurkhard CorvesThomas GriesSabina JeschkeFritz KlockePeter LoosenWalter MichaeliRainer MüllerReinhard PopraweUwe ReisgenChristopher M. SchlickGünther SchuhThomas AuerbachFabian BauhoffMarion Beckers","2012","http://link.springer.com/chapter/10.1007/978-3-642-21067-9_6","Chapter"
"User Interfaces and Help Systems: From Helplessness to Intelligent Assistance","Artificial Intelligence Review","","18","2","10.1023/A:1015179704819","Sylvain DelisleBernard Moulin","2002","http://link.springer.com/article/10.1023/A%3A1015179704819","Article"
"Cooperative work in mission operations: Analysis and implications for computer support","Computer Supported Cooperative Work (CSCW)","","3","2","10.1007/BF00773444","Patricia M. Jones","1994","http://link.springer.com/article/10.1007/BF00773444","Article"
"Self-optimising Assembly Systems for Handling Large Components","Automation, Communication and Cybernetics in Science and Engineering 2011/2012","","","","10.1007/978-3-642-33389-7_53","Marcel MayerBarbara OdenthalDaniel EwertTobias KempfDaniel BehnenChristian BüscherSinem KuzSimon MüllerEckart HauckBernhard KauschDaniel SchilbergWerner HerfsChristopher M. SchlickSabina JeschkeChristian Brecher","2013","http://link.springer.com/chapter/10.1007/978-3-642-33389-7_53","Chapter"
"Management and Assessment of OR Systems Integration","International Journal of Computer Assisted Radiology and Surgery","","5","1","10.1007/s11548-010-0461-4","","2010","http://link.springer.com/article/10.1007/s11548-010-0461-4","Article"
"User Interface Patterns for Multimodal Interaction","Transactions on Pattern Languages of Programming III","","","","10.1007/978-3-642-38676-3_4","Andreas Ratzka","2013","http://link.springer.com/chapter/10.1007/978-3-642-38676-3_4","Chapter"
"A Glass Box Design: Making the Impact of Usability on Software Development Visible","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74800-7_49","Natalia JuristoAna MorenoMaria-Isabel Sanchez-SeguraMaria Cecília Calani Baranauskas","2007","http://link.springer.com/chapter/10.1007/978-3-540-74800-7_49","Chapter"
"Adaptive Techniques for Universal Access","User Modeling and User-Adapted Interaction","","11","1 - 2","10.1023/A:1011144232235","Constantine Stephanidis","2001","http://link.springer.com/article/10.1023/A%3A1011144232235","Article"
"Subject-Orientation for Human-Centred Production: A Research Agenda","S-BPM ONE - Running Processes","","","","10.1007/978-3-642-36754-0_15","Udo KannengiesserHarald Müller","2013","http://link.springer.com/chapter/10.1007/978-3-642-36754-0_15","Chapter"
"Towards Combinatorial Analysis, Adaptation, and Planning of Human-Computer Systems","Applied Intelligence","","16","3","10.1023/A:1014342101070","Mark Sh. Levin","2002","http://link.springer.com/article/10.1023/A%3A1014342101070","Article"
"A stroll with Carletto: adaptation in drama-based tours with virtual characters","User Modeling and User-Adapted Interaction","","18","5","10.1007/s11257-008-9053-1","Rossana DamianoCristina GenaVincenzo LombardoFabrizio NunnariAntonio Pizzo","2008","http://link.springer.com/article/10.1007/s11257-008-9053-1","Article"
"Towards the design of usable multimodal interaction languages","Universal Access in the Information Society","","2","2","10.1007/s10209-003-0051-0","Noëlle Carbonell","2003","http://link.springer.com/article/10.1007/s10209-003-0051-0","Article"
"Critic Systems – Towards Human–Computer Collaborative Problem Solving","Artificial Intelligence Review","","22","4","10.1007/s10462-004-4330-9","Huaglory TianfieldRuwen Wang","2004","http://link.springer.com/article/10.1007/s10462-004-4330-9","Article"
"Interactive System Safety and Usability Enforced with the Development Process","Engineering for Human-Computer Interaction","","","","10.1007/3-540-45348-2_8","Francis JambonPatrick GirardYamine Aït-ameur","2001","http://link.springer.com/chapter/10.1007/3-540-45348-2_8","Chapter"
"From the User Interface to the Consumer Interface","Information Systems Frontiers","","1","4","10.1023/A:1010009923913","Melissa ColeRobert M. O'KeefeHaytham Siala","2000","http://link.springer.com/article/10.1023/A%3A1010009923913","Article"
"An Evaluation of the Potential of Task Analysis in the Evolution of Interactive Work Systems","Cognition, Technology & Work","","2","1","10.1007/s101110050002","R. D. MacredieP. J. Wild","2000","http://link.springer.com/article/10.1007/s101110050002","Article"
"User interaction in digital libraries: coping with diversity through adaptation","International Journal on Digital Libraries","","3","2","10.1007/s007999900020","C. StephanidisD. AkoumianakisA. ParamythisC. Nikolaou","2000","http://link.springer.com/article/10.1007/s007999900020","Article"
