Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Goals Approach: Agile Enterprise Driven Software Development","Complexity in Information Systems Development","","","","10.1007/978-3-319-52593-8_13","Pedro ValenteThiago SilvaMarco WincklerNuno Nunes","2017","http://link.springer.com/chapter/10.1007/978-3-319-52593-8_13","Chapter"
"The Insight–Prototype–Product Cycle Best Practices and Processes to Iteratively Advance In-Vehicle Interactive Experiences Development","Automotive User Interfaces","","","","10.1007/978-3-319-49448-7_14","Ignacio AlvarezAdam JordanJuliana KnopfDarrell LeBlancLaura RumbelAlexandra Zafiroglu","2017","http://link.springer.com/chapter/10.1007/978-3-319-49448-7_14","Chapter"
"Human Factors in Software Development Processes: Measuring System Quality","Product-Focused Software Process Improvement","","","","10.1007/978-3-319-49094-6_57","Silvia AbrahaoMaria Teresa BaldassarreDanilo CaivanoYvonne DittrichRosa LanzilottiAntonio Piccinno","2016","http://link.springer.com/chapter/10.1007/978-3-319-49094-6_57","Chapter"
"Building Mobile Software Ecosystems - A Practical Approach","Human-Computer Interaction: Users and Contexts","","","","10.1007/978-3-319-21006-3_17","Steffen HessSusanne BraunJohannes FeldhausMarco HackFelix KieferDominik MaginMatthias NaabDominik RichterTorsten LenhartMarcus Trapp","2015","http://link.springer.com/chapter/10.1007/978-3-319-21006-3_17","Chapter"
"Design Requirements to Integrate Eye Trackers in Simulation Environments: Aeronautical Use Case","Intelligent Decision Technologies","","","","10.1007/978-3-319-19857-6_21","Jean-Paul ImbertChristophe HurterVsevolod PeysakhovichColin BlättlerFrédéric DehaisCyril Camachon","2015","http://link.springer.com/chapter/10.1007/978-3-319-19857-6_21","Chapter"
"Early Prototyping of 3D-Gesture Interaction within the Presentation-Gesture-Dialog Design Space","Human-Computer Interaction. Advanced Interaction Modalities and Techniques","","","","10.1007/978-3-319-07230-2_2","Birgit BomsdorfRainer Blum","2014","http://link.springer.com/chapter/10.1007/978-3-319-07230-2_2","Chapter"
"Extending OpenUP to Conform with the ISO Usability Maturity Model","Human-Centered Software Engineering","","","","10.1007/978-3-662-44811-3_6","Andrés Rodríguez","2014","http://link.springer.com/chapter/10.1007/978-3-662-44811-3_6","Chapter"
"Engineering Variance: Software Techniques for Scalable, Customizable, and Reusable Multimodal Processing","Human-Computer Interaction. Theories, Methods, and Tools","","","","10.1007/978-3-319-07233-3_29","Marc Erich LatoschikMartin Fischbach","2014","http://link.springer.com/chapter/10.1007/978-3-319-07233-3_29","Chapter"
"Ontology-Based Adaptive Interfaces for Colorblind Users","Universal Access in Human-Computer Interaction. Methods, Techniques, and Best Practices","","","","10.1007/978-3-319-40250-5_3","Ricardo José de AraújoJulio Cesar Dos ReisRodrigo Bonacin","2016","http://link.springer.com/chapter/10.1007/978-3-319-40250-5_3","Chapter"
"FRAMES – A Framework for Adaptable Mobile Event-Contingent Self-report Studies","End-User Development","","","","10.1007/978-3-319-18425-8_10","Julian DaxThomas LudwigJohanna MeurerVolkmar PipekMartin SteinGunnar Stevens","2015","http://link.springer.com/chapter/10.1007/978-3-319-18425-8_10","Chapter"
"Literature Review: ICT, SDPs and System Design for User Needs","Design Issues for Service Delivery Platforms","","","","10.1007/978-3-658-10541-9_2","Dr. Martin Bergaus","2015","http://link.springer.com/chapter/10.1007/978-3-658-10541-9_2","Chapter"
"Software Architecture with Flexibility for the Data-Intensive Fish4Knowledge Project","Fish4Knowledge: Collecting and Analyzing Massive Coral Reef Fish Video Data","","","","10.1007/978-3-319-30208-9_6","Bastiaan J. Boom","2016","http://link.springer.com/chapter/10.1007/978-3-319-30208-9_6","Chapter"
"Exploring Quality-Aware Architectural Transformations at Run-Time: The ENIA Case","Model and Data Engineering","","","","10.1007/978-3-319-45547-1_23","Javier CriadoSilverio Martínez-FernándezDavid AmellerLuis IribarneNicolás Padilla","2016","http://link.springer.com/chapter/10.1007/978-3-319-45547-1_23","Chapter"
"A Haptic Knob as an Innovative User Interface for Visually-Impaired","Universal Access in Human-Computer Interaction. Access to Interaction","","","","10.1007/978-3-319-20681-3_12","Maura MengoniLorenzo CavalieriDamiano Raponi","2015","http://link.springer.com/chapter/10.1007/978-3-319-20681-3_12","Chapter"
"POMA: Pattern-Oriented and Model-Driven Architecture","Patterns of HCI Design and HCI Design of Patterns","","","","10.1007/978-3-319-15687-3_8","Ahmed Seffah","2015","http://link.springer.com/chapter/10.1007/978-3-319-15687-3_8","Chapter"
"Stress Game: The Role of Motivational Robotic Assistance in Reducing User’s Task Stress","International Journal of Social Robotics","","7","2","10.1007/s12369-014-0256-9","Thi-Hai-Ha DangAdriana Tapus","2015","http://link.springer.com/article/10.1007/s12369-014-0256-9","Article"
"Accessible user interface support for multi-device ubiquitous applications: architectural modifiability considerations","Universal Access in the Information Society","","15","1","10.1007/s10209-014-0373-0","Heiko DesruelleSimon IsenbergAndreas BotsikasPaolo VergoriFrank Gielen","2016","http://link.springer.com/article/10.1007/s10209-014-0373-0","Article"
"Human-Robot Social Interaction","Sociorobot World","","","","10.1007/978-3-319-21422-1_4","Spyros G. Tzafestas","2016","http://link.springer.com/chapter/10.1007/978-3-319-21422-1_4","Chapter"
"Multimodal interaction with virtual worlds XMMVR: eXtensible language for MultiModal interaction with virtual reality worlds","Journal on Multimodal User Interfaces","","9","3","10.1007/s12193-015-0176-5","Hector OlmedoDavid EscuderoValentín Cardeñoso","2015","http://link.springer.com/article/10.1007/s12193-015-0176-5","Article"
"Guidelines for the Gamification in Mobile Social Networks","Social Computing and Social Media","","","","10.1007/978-3-319-07632-4_53","Fábio Pereira AlvesCristiano MacielJúnia Coutinho Anacleto","2014","http://link.springer.com/chapter/10.1007/978-3-319-07632-4_53","Chapter"
"Spyractable: A Tangible User Interface Modular Synthesizer","Human-Computer Interaction. Advanced Interaction Modalities and Techniques","","","","10.1007/978-3-319-07230-2_57","Spyridon PotidisThomas Spyrou","2014","http://link.springer.com/chapter/10.1007/978-3-319-07230-2_57","Chapter"
"Addressing the Users’ Diversity in Ubiquitous Environments through a Low Cost Architecture","Universal Access in Human-Computer Interaction. Aging and Assistive Environments","","","","10.1007/978-3-319-07446-7_43","Tatiana Silva de AlencarLuciano Rodrigues MachadoLuciano de Oliveira NerisVânia Paula de Almeida Neris","2014","http://link.springer.com/chapter/10.1007/978-3-319-07446-7_43","Chapter"
"TActile Glasses (TAG) for Obstacle Avoidance","Universal Access in Human-Computer Interaction. Aging and Assistive Environments","","","","10.1007/978-3-319-07446-7_70","Georgios KorresAhmad El IssawiMohamad Eid","2014","http://link.springer.com/chapter/10.1007/978-3-319-07446-7_70","Chapter"
"The Design and Development of Empathetic Serious Games for Dyslexia: BCI Arabic Phonological Processing Training Systems","Design, User Experience, and Usability. User Experience Design Practice","","","","10.1007/978-3-319-07638-6_11","Arwa Al-RubaianLama AlssumRawan AlharbiWafa AlrajhiHaifa AldayelNora AlangariHadeel Al-NegheimishAljohara AlfayezSara AlwaalanRania AljindanAshwag AlshathriDania AlomarGhada AlhudhudAreej Al-Wabil","2014","http://link.springer.com/chapter/10.1007/978-3-319-07638-6_11","Chapter"
"The igus Humanoid Open Platform","KI - Künstliche Intelligenz","","30","3 - 4","10.1007/s13218-016-0448-6","Philipp AllgeuerHafez FaraziGrzegorz FichtMichael SchreiberSven Behnke","2016","http://link.springer.com/article/10.1007/s13218-016-0448-6","Article"
"2D Hand Gesture for Numeric Devnagari Sign Language Analyzer Based on Two Cameras","Intelligent Human Computer Interaction","","","","10.1007/978-3-319-52503-7_12","Jayshree PansareMaya Ingle","2017","http://link.springer.com/chapter/10.1007/978-3-319-52503-7_12","Chapter"
"User Interaction Concepts in Smart Caring Homes for Elderly with Chronic Conditions","Inclusive Smart Cities and e-Health","","","","10.1007/978-3-319-19312-0_4","Cristian-Dan BaraMiriam CabritaHarm op den AkkerHermie J. Hermens","2015","http://link.springer.com/chapter/10.1007/978-3-319-19312-0_4","Chapter"
"Interaction and Humans in Internet of Things","Human-Computer Interaction – INTERACT 2015","","","","10.1007/978-3-319-22723-8_80","Markku TurunenDaniel SonntagKlaus-Peter EngelbrechtThomas OlssonDirk Schnelle-WalkaAndrés Lucero","2015","http://link.springer.com/chapter/10.1007/978-3-319-22723-8_80","Chapter"
"eCITY: Evolutionary Software Architecture Visualization – An Evaluation","Building Bridges: HCI, Visualization, and Non-formal Modeling","","","","10.1007/978-3-642-54894-9_15","Taimur KhanHenning BarthelLiliana GuzmanAchim EbertPeter Liggesmeyer","2014","http://link.springer.com/chapter/10.1007/978-3-642-54894-9_15","Chapter"
"Exploring Challenging Environments: Contextual Research in the Car and the Factory Through an HCI Lens","Designing Socially Embedded Technologies in the Real-World","","","","10.1007/978-1-4471-6720-4_12","Astrid WeissAlexander MeschtscherjakovRoland BuchnerEwald StrasserPatricia M. KlucknerSebastian OsswaldNicole MirnigDavid WilfingerNicole PertererPetra SundstroemArno LamingerManfred Tscheligi","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6720-4_12","Chapter"
"A Typed Approach to User Interaction Modelling","Hagenberg Business Process Modelling Method","","","","10.1007/978-3-319-30496-0_4","Felix KossakChrista IllibauerVerena GeistChristine NatschlägerThomas ZiebermayrBernhard FreudenthalerTheodorich KopetzkyKlaus-Dieter Schewe","2016","http://link.springer.com/chapter/10.1007/978-3-319-30496-0_4","Chapter"
"“KogniChef”: A Cognitive Cooking Assistant","KI - Künstliche Intelligenz","","","","10.1007/s13218-017-0488-6","Alexander NeumannChristof ElbrechterNadine Pfeiffer-LeßmannRisto KõivaBirte CarlmeyerStefan RütherMichael SchadeAndré ÜckermannSven WachsmuthHelge J. Ritter","2017","http://link.springer.com/article/10.1007/s13218-017-0488-6","Article"
"Mediating Asymmetries in Family Communication: Supporting the eInclusion of Older Adults","Universal Access in Human-Computer Interaction.   Access to Today's Technologies","","","","10.1007/978-3-319-20678-3_42","Francisco J. GutierrezSergio F. OchoaJulita Vassileva","2015","http://link.springer.com/chapter/10.1007/978-3-319-20678-3_42","Chapter"
"The Innovation Binder Approach: A Guide Towards a Social-Technical Balanced Pervasive Health System","Pervasive Health","","","","10.1007/978-1-4471-6413-5_4","A. JacobsP. DuysburghL. BleumersF. OngenaeA. AckaertS. Verstichel","2014","http://link.springer.com/chapter/10.1007/978-1-4471-6413-5_4","Chapter"
"POP: An Instrument to Decide on the Adoption of Participatory Design","Human-Computer Interaction. Theory, Design, Development and Practice","","","","10.1007/978-3-319-39510-4_14","Helder Cognaco de OliveiraMarcelo da Silva HounsellIsabela Gasparini","2016","http://link.springer.com/chapter/10.1007/978-3-319-39510-4_14","Chapter"
"Rapid Prototyping for Mobile Serious Games","Learning and Collaboration Technologies. Technology-Rich Environments for Learning and Collaboration","","","","10.1007/978-3-319-07485-6_20","José RouillardAudrey SernaBertrand DavidRené Chalon","2014","http://link.springer.com/chapter/10.1007/978-3-319-07485-6_20","Chapter"
"Cognitive Computing: Where Big Data Is Driving Us","Handbook of Big Data Technologies","","","","10.1007/978-3-319-49340-4_24","Ana Paula AppelHeloisa CandelloFábio Latuf Gandour","2017","http://link.springer.com/chapter/10.1007/978-3-319-49340-4_24","Chapter"
"Introduction to Cyber-Physical Systems","Guide to Computing Fundamentals in Cyber-Physical Systems","","","","10.1007/978-3-319-25178-3_3","Dietmar P. F. Möller","2016","http://link.springer.com/chapter/10.1007/978-3-319-25178-3_3","Chapter"
"A Real-Time Gesture-Based Unmanned Aerial Vehicle Control System","Advances in Multimedia Information Processing - PCM 2016","","","","10.1007/978-3-319-48890-5_52","Leye WeiXin JinZhiyong WuLei Zhang","2016","http://link.springer.com/chapter/10.1007/978-3-319-48890-5_52","Chapter"
"A Symbolic Approach to Self-optimisation in Production System Analysis and Control","Advances in Production Technology","","","","10.1007/978-3-319-12304-2_11","Christopher M. SchlickMarco FaberSinem KuzJennifer Bützler","2015","http://link.springer.com/chapter/10.1007/978-3-319-12304-2_11","Chapter"
"Information Technologies as Tools for Studying Complex Processes","Topical Directions of Informatics","","","","10.1007/978-1-4939-0476-1_3","Ivan V. Sergienko","2014","http://link.springer.com/chapter/10.1007/978-1-4939-0476-1_3","Chapter"
"Bridging User Context and Design Models to Build Adaptive User Interfaces","Human-Centered Software Engineering","","","","10.1007/978-3-662-44811-3_3","Mladjan JovanovicDusan StarcevicZoran Jovanovic","2014","http://link.springer.com/chapter/10.1007/978-3-662-44811-3_3","Chapter"
"A Survey of Autonomous Human Affect Detection Methods for Social Robots Engaged in Natural HRI","Journal of Intelligent & Robotic Systems","","82","1","10.1007/s10846-015-0259-2","Derek McCollAlexander HongNaoaki HatakeyamaGoldie NejatBeno Benhabib","2016","http://link.springer.com/article/10.1007/s10846-015-0259-2","Article"
"Enhancing Students’ Motivation to Learn Software Engineering Programming Techniques: A Collaborative and Social Interaction Approach","Universal Access in Human-Computer Interaction. Access to Learning, Health and Well-Being","","","","10.1007/978-3-319-20684-4_19","Ricardo Rodrigues NunesDaniela PedrosaBenjamim FonsecaHugo ParedesJosé CravinoLeonel MorgadoPaulo Martins","2015","http://link.springer.com/chapter/10.1007/978-3-319-20684-4_19","Chapter"
"The DHU-SAM: Modeling MIS Software Architecture","Proceedings of International Conference on Computer Science and Information Technology","","","","10.1007/978-81-322-1759-6_94","Mingyou YingMin XieQiong WuZehui ChenJingxian Chen","2014","http://link.springer.com/chapter/10.1007/978-81-322-1759-6_94","Chapter"
"Developing an Ecosystem for Interactive Electronic Implants","Biomimetic and Biohybrid Systems","","","","10.1007/978-3-319-42417-0_56","Paul StrohmeierCedric HonnetSamppa von Cyborg","2016","http://link.springer.com/chapter/10.1007/978-3-319-42417-0_56","Chapter"
"Induction Machine Faults Leading to Occupational Accidents","Universal Access in Human-Computer Interaction. Design for All and Accessibility Practice","","","","10.1007/978-3-319-07509-9_23","Beata Mrugalska","2014","http://link.springer.com/chapter/10.1007/978-3-319-07509-9_23","Chapter"
"A Software Architecture Centric Engineering Approach for Internetware","Internetware","","","","10.1007/978-981-10-2546-4_11","Hong MeiJian Lü","2016","http://link.springer.com/chapter/10.1007/978-981-10-2546-4_11","Chapter"
"Introduction to the GI-Dagstuhl Book on Entertainment Computing and Serious Games","Entertainment Computing and Serious Games","","","","10.1007/978-3-319-46152-6_1","Ralf DörnerStefan GöbelMichael Kickmeier-Rust","2016","http://link.springer.com/chapter/10.1007/978-3-319-46152-6_1","Chapter"
"Incorporating Usability into Model Transformation","Human-Computer Systems Interaction: Backgrounds and Applications 3","","","","10.1007/978-3-319-08491-6_3","L. B. AmmarA. TrabelsiA. Mahfoudhi","2014","http://link.springer.com/chapter/10.1007/978-3-319-08491-6_3","Chapter"
"Supporting Peer Help in Collaborative Learning Environments: A Discussion Based on Two Case Studies","On the Move to Meaningful Internet Systems: OTM 2015 Conferences","","","","10.1007/978-3-319-26148-5_5","Luana MüllerLetícia Lopes LeiteMilene Selbach Silveira","2015","http://link.springer.com/chapter/10.1007/978-3-319-26148-5_5","Chapter"
"User Interaction Adaptation Within Ambient Environments","Next Generation Intelligent Environments","","","","10.1007/978-3-319-23452-6_6","Gaëtan PruvostTobias HeinrothYacine BellikWolfgang Minker","2016","http://link.springer.com/chapter/10.1007/978-3-319-23452-6_6","Chapter"
"A Universal Ballot to Enable Voting for All","Universal Access in Human-Computer Interaction. Access to the Human Environment and Culture","","","","10.1007/978-3-319-20687-5_20","Seunghyun “Tina” LeeYilin Elaine LiuLjilja Ruzic KascakJon A. Sanford","2015","http://link.springer.com/chapter/10.1007/978-3-319-20687-5_20","Chapter"
"Systematic review of Kinect applications in elderly care and stroke rehabilitation","Journal of NeuroEngineering and Rehabilitation","","11","1","10.1186/1743-0003-11-108","David WebsterOzkan Celik","2014","http://link.springer.com/article/10.1186/1743-0003-11-108","Article"
"Model Development and Discussion of the Results","Design Issues for Service Delivery Platforms","","","","10.1007/978-3-658-10541-9_5","Dr. Martin Bergaus","2015","http://link.springer.com/chapter/10.1007/978-3-658-10541-9_5","Chapter"
"Discussion of the Proposed Specification and Outlook","A Rigorous Semantics for BPMN 2.0 Process Diagrams","","","","10.1007/978-3-319-09931-6_8","Felix KossakChrista IllibauerVerena GeistJan KubovyChristine NatschlägerThomas ZiebermayrTheodorich KopetzkyBernhard FreudenthalerKlaus-Dieter Schewe","2014","http://link.springer.com/chapter/10.1007/978-3-319-09931-6_8","Chapter"
"Real-time imaging-based assessment model for improving teaching performance and student experience in e-learning","Journal of Real-Time Image Processing","","","","10.1007/s11554-016-0662-3","Muhammad FarhanMuhammad AslamSohail JabbarShehzad KhalidMucheol Kim","2017","http://link.springer.com/article/10.1007/s11554-016-0662-3","Article"
"User interface patterns in recommendation-empowered content intensive multimedia applications","Multimedia Tools and Applications","","76","4","10.1007/s11042-016-3946-5","Paolo CremonesiMehdi ElahiFranca Garzotto","2017","http://link.springer.com/article/10.1007/s11042-016-3946-5","Article"
"Computer-Based Cognitive Training in Adults with Down’s Syndrome","Universal Access in Human-Computer Interaction. Universal Access to Information and Knowledge","","","","10.1007/978-3-319-07440-5_19","Stefania BargagnaMargherita BozzaMaria Claudia BuzziMarina BuzziElena DocciniErico Perrone","2014","http://link.springer.com/chapter/10.1007/978-3-319-07440-5_19","Chapter"
"A survey of autonomic computing methods in digital service ecosystems","Service Oriented Computing and Applications","","11","1","10.1007/s11761-016-0203-8","Dhaminda B. AbeywickramaEila Ovaska","2017","http://link.springer.com/article/10.1007/s11761-016-0203-8","Article"
"e-Service Industry","Revolutionizing Collaboration through e-Work, e-Business, and e-Service","","","","10.1007/978-3-662-45777-1_9","Shimon Y. NofJose CeroniWootae JeongMohsen Moghaddam","2015","http://link.springer.com/chapter/10.1007/978-3-662-45777-1_9","Chapter"
"Software Development Environment for Automotive SoC","Algorithm & SoC Design for Automotive Vision Systems","","","","10.1007/978-94-017-9075-8_9","Jeonghun Cho","2014","http://link.springer.com/chapter/10.1007/978-94-017-9075-8_9","Chapter"
"Introduction to Automated Driving","Automated Driving","","","","10.1007/978-3-319-31895-0_1","Daniel WatzenigMartin Horn","2017","http://link.springer.com/chapter/10.1007/978-3-319-31895-0_1","Chapter"
"Continuous Integration Applied to Software-Intensive Embedded Systems – Problems and Experiences","Product-Focused Software Process Improvement","","","","10.1007/978-3-319-49094-6_30","Torvald MårtenssonDaniel StåhlJan Bosch","2016","http://link.springer.com/chapter/10.1007/978-3-319-49094-6_30","Chapter"
"PGA: Preferences for Global Access","Universal Access in Human-Computer Interaction. Design for All and Accessibility Practice","","","","10.1007/978-3-319-07509-9_31","Richard SchwerdtfegerGregg C. VanderheidenJutta TreviranusColin ClarkJess MitchellLisa PetridesLisa McLaughlinCynthia JimesJim TobiasSheri TrewinMichelle Brennan","2014","http://link.springer.com/chapter/10.1007/978-3-319-07509-9_31","Chapter"
